EventCode,GTPVersion,Description,InformationElement,MessageType
108100,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
108101,GTPv1,Tunnel alert limit reached,,Echo Request
108102,GTPv1,Tunnel alert limit reached,,Echo Response
108103,GTPv1,Tunnel alert limit reached,,Version Not Supported
108104,GTPv1,Tunnel alert limit reached,,Node Alive Request
108105,GTPv1,Tunnel alert limit reached,,Node Alive Response
108106,GTPv1,Tunnel alert limit reached,,Redirection Request
108107,GTPv1,Tunnel alert limit reached,,Redirection Response
108108,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
108109,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
10810a,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
10810b,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
10810c,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
10810d,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
10810e,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
10810f,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
108110,GTPv1,Tunnel alert limit reached,,Create PDP Context Request
108111,GTPv1,Tunnel alert limit reached,,Create PDP Context Response
108112,GTPv1,Tunnel alert limit reached,,Update PDP Context Request
108113,GTPv1,Tunnel alert limit reached,,Update PDP Context Response
108114,GTPv1,Tunnel alert limit reached,,Delete PDP Context Request
108115,GTPv1,Tunnel alert limit reached,,Delete PDP Context Response
108116,GTPv1,Tunnel alert limit reached,,Initiate PDP Context Activation Request
108117,GTPv1,Tunnel alert limit reached,,Initiate PDP Context Activation Response
108118,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
108119,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
10811a,GTPv1,Tunnel alert limit reached,,Error Indication
10811b,GTPv1,Tunnel alert limit reached,,PDU Notification Request
10811c,GTPv1,Tunnel alert limit reached,,PDU Notification Response
10811d,GTPv1,Tunnel alert limit reached,,PDU Notification Reject Request
10811e,GTPv1,Tunnel alert limit reached,,PDU Notification Reject Response
10811f,GTPv1,Tunnel alert limit reached,,Supported Extension Headers Notification
108120,GTPv1,Tunnel alert limit reached,,Send Routeing Information for GPRS Request
108121,GTPv1,Tunnel alert limit reached,,Send Routeing Information for GPRS Response
108122,GTPv1,Tunnel alert limit reached,,Failure Report Request
108123,GTPv1,Tunnel alert limit reached,,Failure Report Response
108124,GTPv1,Tunnel alert limit reached,,Note MS GPRS Present Request
108125,GTPv1,Tunnel alert limit reached,,Note MS GPRS Present Response
108126,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
108127,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
108128,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
108129,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
