108200, Tunnel alert limit reached, Reserved
108201, Tunnel alert limit reached, Echo Request
108202, Tunnel alert limit reached, Echo Response
108203, Tunnel alert limit reached, Version Not Supported Indication
108204, Tunnel alert limit reached, Reserved for S101 interface
108205, Tunnel alert limit reached, Reserved for S101 interface
108206, Tunnel alert limit reached, Reserved for S101 interface
108207, Tunnel alert limit reached, Reserved for S101 interface
108208, Tunnel alert limit reached, Reserved for S101 interface
108209, Tunnel alert limit reached, Reserved for S101 interface
10820a, Tunnel alert limit reached, Reserved for S101 interface
10820b, Tunnel alert limit reached, Reserved for S101 interface
10820c, Tunnel alert limit reached, Reserved for S101 interface
10820d, Tunnel alert limit reached, Reserved for S101 interface
10820e, Tunnel alert limit reached, Reserved for S101 interface
10820f, Tunnel alert limit reached, Reserved for S101 interface
108210, Tunnel alert limit reached, Reserved for S101 interface
108211, Tunnel alert limit reached, Reserved for S121 interface
108212, Tunnel alert limit reached, Reserved for S121 interface
108213, Tunnel alert limit reached, Reserved for S121 interface
108214, Tunnel alert limit reached, Reserved for S121 interface
108215, Tunnel alert limit reached, Reserved for S121 interface
108216, Tunnel alert limit reached, Reserved for S121 interface
108217, Tunnel alert limit reached, Reserved for S121 interface
108218, Tunnel alert limit reached, Reserved for S121 interface
108219, Tunnel alert limit reached, Reserved for Sv interface
10821a, Tunnel alert limit reached, Reserved for Sv interface
10821b, Tunnel alert limit reached, Reserved for Sv interface
10821c, Tunnel alert limit reached, Reserved for Sv interface
10821d, Tunnel alert limit reached, Reserved for Sv interface
10821e, Tunnel alert limit reached, Reserved for Sv interface
10821f, Tunnel alert limit reached, Reserved for Sv interface
108220, Tunnel alert limit reached, Create Session Request
108221, Tunnel alert limit reached, Create Session Response
108224, Tunnel alert limit reached, Delete Session Request
108225, Tunnel alert limit reached, Delete Session Response
108222, Tunnel alert limit reached, Modify Bearer Request
108223, Tunnel alert limit reached, Modify Bearer Response
108228, Tunnel alert limit reached, Remote UE Report Notification
108229, Tunnel alert limit reached, Remote UE Report Acknowledge
108226, Tunnel alert limit reached, Change Notification Request
108227, Tunnel alert limit reached, Change Notification Response
10822a, Tunnel alert limit reached, For future use
1082a4, Tunnel alert limit reached, Resume Notification
1082a5, Tunnel alert limit reached, Resume Acknowledge
108240, Tunnel alert limit reached, Modify Bearer Command (MME/SGSN/ TWAN/ePDG to PGW – S11/S4, Tunnel alert limit reached, S5/S8, Tunnel alert limit reached, S2a, Tunnel alert limit reached, S2b)
108241, Tunnel alert limit reached, Modify Bearer Failure Indication (PGW to MME/SGSN/ TWAN/ePDG – S5/S8, Tunnel alert limit reached, S11/S4, Tunnel alert limit reached, S2a, Tunnel alert limit reached, S2b)
108242, Tunnel alert limit reached, Delete Bearer Command (MME/SGSN to PGW – S11/S4, Tunnel alert limit reached, S5/S8)
108243, Tunnel alert limit reached, Delete Bearer Failure Indication (PGW to MME/SGSN – S5/S8, Tunnel alert limit reached, S11/S4))
108244, Tunnel alert limit reached, Bearer Resource Command (MME/SGSN/TWAN/ePDG to PGW – S11/S4, Tunnel alert limit reached, S5/S8, Tunnel alert limit reached, S2a, Tunnel alert limit reached, S2b)
108245, Tunnel alert limit reached, Bearer Resource Failure Indication (PGW to MME/SGSN/TWAN/ePDG – S5/S8, Tunnel alert limit reached, S11/S4, Tunnel alert limit reached, S2a, Tunnel alert limit reached, S2b)
108246, Tunnel alert limit reached, Downlink Data Notification Failure Indication (SGSN/MME to SGW – S4/S11)
108247, Tunnel alert limit reached, Trace Session Activation (MME/SGSN/ TWAN/ePDG to PGW – S11/S4, Tunnel alert limit reached, S5/S8, Tunnel alert limit reached, S2a, Tunnel alert limit reached, S2b)
108248, Tunnel alert limit reached, Trace Session Deactivation (MME/SGSN/ TWAN/ePDG to PGW – S11/S4, Tunnel alert limit reached, S5/S8, Tunnel alert limit reached, S2a, Tunnel alert limit reached, S2b)
108249, Tunnel alert limit reached, Stop Paging Indication (SGW to MME/SGSN – S11/S4)
10824a, Tunnel alert limit reached, For future use
10825f, Tunnel alert limit reached, Create Bearer Request
108260, Tunnel alert limit reached, Create Bearer Response
