128200, Out-of-state GTPv2 message, Reserved
128201, Out-of-state GTPv2 message, Echo Request
128202, Out-of-state GTPv2 message, Echo Response
128203, Out-of-state GTPv2 message, Version Not Supported Indication
128204, Out-of-state GTPv2 message, Reserved for S101 interface
128205, Out-of-state GTPv2 message, Reserved for S101 interface
128206, Out-of-state GTPv2 message, Reserved for S101 interface
128207, Out-of-state GTPv2 message, Reserved for S101 interface
128208, Out-of-state GTPv2 message, Reserved for S101 interface
128209, Out-of-state GTPv2 message, Reserved for S101 interface
12820a, Out-of-state GTPv2 message, Reserved for S101 interface
12820b, Out-of-state GTPv2 message, Reserved for S101 interface
12820c, Out-of-state GTPv2 message, Reserved for S101 interface
12820d, Out-of-state GTPv2 message, Reserved for S101 interface
12820e, Out-of-state GTPv2 message, Reserved for S101 interface
12820f, Out-of-state GTPv2 message, Reserved for S101 interface
128210, Out-of-state GTPv2 message, Reserved for S101 interface
128211, Out-of-state GTPv2 message, Reserved for S121 interface
128212, Out-of-state GTPv2 message, Reserved for S121 interface
128213, Out-of-state GTPv2 message, Reserved for S121 interface
128214, Out-of-state GTPv2 message, Reserved for S121 interface
128215, Out-of-state GTPv2 message, Reserved for S121 interface
128216, Out-of-state GTPv2 message, Reserved for S121 interface
128217, Out-of-state GTPv2 message, Reserved for S121 interface
128218, Out-of-state GTPv2 message, Reserved for S121 interface
128219, Out-of-state GTPv2 message, Reserved for Sv interface
12821a, Out-of-state GTPv2 message, Reserved for Sv interface
12821b, Out-of-state GTPv2 message, Reserved for Sv interface
12821c, Out-of-state GTPv2 message, Reserved for Sv interface
12821d, Out-of-state GTPv2 message, Reserved for Sv interface
12821e, Out-of-state GTPv2 message, Reserved for Sv interface
12821f, Out-of-state GTPv2 message, Reserved for Sv interface
128220, Out-of-state GTPv2 message, Create Session Request
128221, Out-of-state GTPv2 message, Create Session Response
128224, Out-of-state GTPv2 message, Delete Session Request
128225, Out-of-state GTPv2 message, Delete Session Response
128222, Out-of-state GTPv2 message, Modify Bearer Request
128223, Out-of-state GTPv2 message, Modify Bearer Response
128228, Out-of-state GTPv2 message, Remote UE Report Notification
128229, Out-of-state GTPv2 message, Remote UE Report Acknowledge
128226, Out-of-state GTPv2 message, Change Notification Request
128227, Out-of-state GTPv2 message, Change Notification Response
12822a, Out-of-state GTPv2 message, For future use
1282a4, Out-of-state GTPv2 message, Resume Notification
1282a5, Out-of-state GTPv2 message, Resume Acknowledge
128240, Out-of-state GTPv2 message, Modify Bearer Command (MME/SGSN/ TWAN/ePDG to PGW – S11/S4, Out-of-state GTPv2 message, S5/S8, Out-of-state GTPv2 message, S2a, Out-of-state GTPv2 message, S2b)
128241, Out-of-state GTPv2 message, Modify Bearer Failure Indication (PGW to MME/SGSN/ TWAN/ePDG – S5/S8, Out-of-state GTPv2 message, S11/S4, Out-of-state GTPv2 message, S2a, Out-of-state GTPv2 message, S2b)
128242, Out-of-state GTPv2 message, Delete Bearer Command (MME/SGSN to PGW – S11/S4, Out-of-state GTPv2 message, S5/S8)
128243, Out-of-state GTPv2 message, Delete Bearer Failure Indication (PGW to MME/SGSN – S5/S8, Out-of-state GTPv2 message, S11/S4))
128244, Out-of-state GTPv2 message, Bearer Resource Command (MME/SGSN/TWAN/ePDG to PGW – S11/S4, Out-of-state GTPv2 message, S5/S8, Out-of-state GTPv2 message, S2a, Out-of-state GTPv2 message, S2b)
128245, Out-of-state GTPv2 message, Bearer Resource Failure Indication (PGW to MME/SGSN/TWAN/ePDG – S5/S8, Out-of-state GTPv2 message, S11/S4, Out-of-state GTPv2 message, S2a, Out-of-state GTPv2 message, S2b)
128246, Out-of-state GTPv2 message, Downlink Data Notification Failure Indication (SGSN/MME to SGW – S4/S11)
