181000, Unknown GTP-U message, Reserved
181001, Unknown GTP-U message, Echo Request
181002, Unknown GTP-U message, Echo Response
181003, Unknown GTP-U message, Version Not Supported Indication
181004, Unknown GTP-U message, Reserved for S101 interface
181005, Unknown GTP-U message, Reserved for S101 interface
181006, Unknown GTP-U message, Reserved for S101 interface
181007, Unknown GTP-U message, Reserved for S101 interface
181008, Unknown GTP-U message, Reserved for S101 interface
181009, Unknown GTP-U message, Reserved for S101 interface
18100a, Unknown GTP-U message, Reserved for S101 interface
18100b, Unknown GTP-U message, Reserved for S101 interface
18100c, Unknown GTP-U message, Reserved for S101 interface
18100d, Unknown GTP-U message, Reserved for S101 interface
18100e, Unknown GTP-U message, Reserved for S101 interface
18100f, Unknown GTP-U message, Reserved for S101 interface
181010, Unknown GTP-U message, Reserved for S101 interface
181011, Unknown GTP-U message, Reserved for S121 interface
181012, Unknown GTP-U message, Reserved for S121 interface
181013, Unknown GTP-U message, Reserved for S121 interface
181014, Unknown GTP-U message, Reserved for S121 interface
181015, Unknown GTP-U message, Reserved for S121 interface
181016, Unknown GTP-U message, Reserved for S121 interface
181017, Unknown GTP-U message, Reserved for S121 interface
181018, Unknown GTP-U message, Reserved for S121 interface
181019, Unknown GTP-U message, Reserved for Sv interface
18101a, Unknown GTP-U message, Reserved for Sv interface
18101b, Unknown GTP-U message, Reserved for Sv interface
18101c, Unknown GTP-U message, Reserved for Sv interface
18101d, Unknown GTP-U message, Reserved for Sv interface
18101e, Unknown GTP-U message, Reserved for Sv interface
18101f, Unknown GTP-U message, Reserved for Sv interface
181020, Unknown GTP-U message, Create Session Request
181021, Unknown GTP-U message, Create Session Response
181024, Unknown GTP-U message, Delete Session Request
181025, Unknown GTP-U message, Delete Session Response
181022, Unknown GTP-U message, Modify Bearer Request
181023, Unknown GTP-U message, Modify Bearer Response
181028, Unknown GTP-U message, Remote UE Report Notification
181029, Unknown GTP-U message, Remote UE Report Acknowledge
181026, Unknown GTP-U message, Change Notification Request
181027, Unknown GTP-U message, Change Notification Response
18102a, Unknown GTP-U message, For future use
1810a4, Unknown GTP-U message, Resume Notification
1810a5, Unknown GTP-U message, Resume Acknowledge
181040, Unknown GTP-U message, Modify Bearer Command (MME/SGSN/ TWAN/ePDG to PGW – S11/S4, Unknown GTP-U message, S5/S8, Unknown GTP-U message, S2a, Unknown GTP-U message, S2b)
181041, Unknown GTP-U message, Modify Bearer Failure Indication (PGW to MME/SGSN/ TWAN/ePDG – S5/S8, Unknown GTP-U message, S11/S4, Unknown GTP-U message, S2a, Unknown GTP-U message, S2b)
181042, Unknown GTP-U message, Delete Bearer Command (MME/SGSN to PGW – S11/S4, Unknown GTP-U message, S5/S8)
181043, Unknown GTP-U message, Delete Bearer Failure Indication (PGW to MME/SGSN – S5/S8, Unknown GTP-U message, S11/S4))
181044, Unknown GTP-U message, Bearer Resource Command (MME/SGSN/TWAN/ePDG to PGW – S11/S4, Unknown GTP-U message, S5/S8, Unknown GTP-U message, S2a, Unknown GTP-U message, S2b)
181045, Unknown GTP-U message, Bearer Resource Failure Indication (PGW to MME/SGSN/TWAN/ePDG – S5/S8, Unknown GTP-U message, S11/S4, Unknown GTP-U message, S2a, Unknown GTP-U message, S2b)
181046, Unknown GTP-U message, Downlink Data Notification Failure Indication (SGSN/MME to SGW – S4/S11)
181047, Unknown GTP-U message, Trace Session Activation (MME/SGSN/ TWAN/ePDG to PGW – S11/S4, Unknown GTP-U message, S5/S8, Unknown GTP-U message, S2a, Unknown GTP-U message, S2b)
181048, Unknown GTP-U message, Trace Session Deactivation (MME/SGSN/ TWAN/ePDG to PGW – S11/S4, Unknown GTP-U message, S5/S8, Unknown GTP-U message, S2a, Unknown GTP-U message, S2b)
181049, Unknown GTP-U message, Stop Paging Indication (SGW to MME/SGSN – S11/S4)
18104a, Unknown GTP-U message, For future use
18105f, Unknown GTP-U message, Create Bearer Request
181060, Unknown GTP-U message, Create Bearer Response
181061, Unknown GTP-U message, Update Bearer Request
181062, Unknown GTP-U message, Update Bearer Response
181063, Unknown GTP-U message, Delete Bearer Request
181064, Unknown GTP-U message, Delete Bearer Response
181065, Unknown GTP-U message, Delete PDN Connection Set Request
181066, Unknown GTP-U message, Delete PDN Connection Set Response
181067, Unknown GTP-U message, PGW Downlink Triggering Notification
181068, Unknown GTP-U message, PGW Downlink Triggering Acknowledge
181069, Unknown GTP-U message, For future use
181080, Unknown GTP-U message, Identification Request
181081, Unknown GTP-U message, Identification Response
181082, Unknown GTP-U message, Context Request
181083, Unknown GTP-U message, Context Response
181084, Unknown GTP-U message, Context Acknowledge
181085, Unknown GTP-U message, Forward Relocation Request
181086, Unknown GTP-U message, Forward Relocation Response
181087, Unknown GTP-U message, Forward Relocation Complete Notification
