182200, Out-of-state GTPv2 message, Reserved
182201, Out-of-state GTPv2 message, Echo Request
182202, Out-of-state GTPv2 message, Echo Response
182203, Out-of-state GTPv2 message, Version Not Supported Indication
182204, Out-of-state GTPv2 message, Reserved for S101 interface
182205, Out-of-state GTPv2 message, Reserved for S101 interface
182206, Out-of-state GTPv2 message, Reserved for S101 interface
182207, Out-of-state GTPv2 message, Reserved for S101 interface
182208, Out-of-state GTPv2 message, Reserved for S101 interface
182209, Out-of-state GTPv2 message, Reserved for S101 interface
18220a, Out-of-state GTPv2 message, Reserved for S101 interface
18220b, Out-of-state GTPv2 message, Reserved for S101 interface
18220c, Out-of-state GTPv2 message, Reserved for S101 interface
18220d, Out-of-state GTPv2 message, Reserved for S101 interface
18220e, Out-of-state GTPv2 message, Reserved for S101 interface
18220f, Out-of-state GTPv2 message, Reserved for S101 interface
182210, Out-of-state GTPv2 message, Reserved for S101 interface
182211, Out-of-state GTPv2 message, Reserved for S121 interface
182212, Out-of-state GTPv2 message, Reserved for S121 interface
182213, Out-of-state GTPv2 message, Reserved for S121 interface
182214, Out-of-state GTPv2 message, Reserved for S121 interface
182215, Out-of-state GTPv2 message, Reserved for S121 interface
182216, Out-of-state GTPv2 message, Reserved for S121 interface
182217, Out-of-state GTPv2 message, Reserved for S121 interface
182218, Out-of-state GTPv2 message, Reserved for S121 interface
182219, Out-of-state GTPv2 message, Reserved for Sv interface
18221a, Out-of-state GTPv2 message, Reserved for Sv interface
18221b, Out-of-state GTPv2 message, Reserved for Sv interface
18221c, Out-of-state GTPv2 message, Reserved for Sv interface
18221d, Out-of-state GTPv2 message, Reserved for Sv interface
18221e, Out-of-state GTPv2 message, Reserved for Sv interface
18221f, Out-of-state GTPv2 message, Reserved for Sv interface
182220, Out-of-state GTPv2 message, Create Session Request
182221, Out-of-state GTPv2 message, Create Session Response
182224, Out-of-state GTPv2 message, Delete Session Request
182225, Out-of-state GTPv2 message, Delete Session Response
182222, Out-of-state GTPv2 message, Modify Bearer Request
182223, Out-of-state GTPv2 message, Modify Bearer Response
182228, Out-of-state GTPv2 message, Remote UE Report Notification
182229, Out-of-state GTPv2 message, Remote UE Report Acknowledge
182226, Out-of-state GTPv2 message, Change Notification Request
182227, Out-of-state GTPv2 message, Change Notification Response
18222a, Out-of-state GTPv2 message, For future use
1822a4, Out-of-state GTPv2 message, Resume Notification
1822a5, Out-of-state GTPv2 message, Resume Acknowledge
182240, Out-of-state GTPv2 message, Modify Bearer Command (MME/SGSN/ TWAN/ePDG to PGW – S11/S4, Out-of-state GTPv2 message, S5/S8, Out-of-state GTPv2 message, S2a, Out-of-state GTPv2 message, S2b)
182241, Out-of-state GTPv2 message, Modify Bearer Failure Indication (PGW to MME/SGSN/ TWAN/ePDG – S5/S8, Out-of-state GTPv2 message, S11/S4, Out-of-state GTPv2 message, S2a, Out-of-state GTPv2 message, S2b)
182242, Out-of-state GTPv2 message, Delete Bearer Command (MME/SGSN to PGW – S11/S4, Out-of-state GTPv2 message, S5/S8)
182243, Out-of-state GTPv2 message, Delete Bearer Failure Indication (PGW to MME/SGSN – S5/S8, Out-of-state GTPv2 message, S11/S4))
182244, Out-of-state GTPv2 message, Bearer Resource Command (MME/SGSN/TWAN/ePDG to PGW – S11/S4, Out-of-state GTPv2 message, S5/S8, Out-of-state GTPv2 message, S2a, Out-of-state GTPv2 message, S2b)
182245, Out-of-state GTPv2 message, Bearer Resource Failure Indication (PGW to MME/SGSN/TWAN/ePDG – S5/S8, Out-of-state GTPv2 message, S11/S4, Out-of-state GTPv2 message, S2a, Out-of-state GTPv2 message, S2b)
182246, Out-of-state GTPv2 message, Downlink Data Notification Failure Indication (SGSN/MME to SGW – S4/S11)
182247, Out-of-state GTPv2 message, Trace Session Activation (MME/SGSN/ TWAN/ePDG to PGW – S11/S4, Out-of-state GTPv2 message, S5/S8, Out-of-state GTPv2 message, S2a, Out-of-state GTPv2 message, S2b)
182248, Out-of-state GTPv2 message, Trace Session Deactivation (MME/SGSN/ TWAN/ePDG to PGW – S11/S4, Out-of-state GTPv2 message, S5/S8, Out-of-state GTPv2 message, S2a, Out-of-state GTPv2 message, S2b)
182249, Out-of-state GTPv2 message, Stop Paging Indication (SGW to MME/SGSN – S11/S4)
18224a, Out-of-state GTPv2 message, For future use
18225f, Out-of-state GTPv2 message, Create Bearer Request
182260, Out-of-state GTPv2 message, Create Bearer Response
182261, Out-of-state GTPv2 message, Update Bearer Request
182262, Out-of-state GTPv2 message, Update Bearer Response
182263, Out-of-state GTPv2 message, Delete Bearer Request
182264, Out-of-state GTPv2 message, Delete Bearer Response
182265, Out-of-state GTPv2 message, Delete PDN Connection Set Request
182266, Out-of-state GTPv2 message, Delete PDN Connection Set Response
182267, Out-of-state GTPv2 message, PGW Downlink Triggering Notification
182268, Out-of-state GTPv2 message, PGW Downlink Triggering Acknowledge
182269, Out-of-state GTPv2 message, For future use
182280, Out-of-state GTPv2 message, Identification Request
182281, Out-of-state GTPv2 message, Identification Response
