EventCode,GTPVersion,Description,InformationElement,MessageType
230000,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,For future use. Shall not be sent. If received shall be treated as an Unknown message. shall be treated as an Unknown message.
230001,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Echo Request
230002,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Echo Response
230003,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Version Not Supported
230004,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Node Alive Request
230005,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Node Alive Response
230006,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Redirection Request
230007,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Redirection Response
230008,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,For future use. Shall not be sent. If received shall be treated as an Unknown message.
230010,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Create PDP Context Request
230011,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Create PDP Context Response
230012,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Update PDP Context Request
230013,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Update PDP Context Response
230014,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Delete PDP Context Request
230015,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Delete PDP Context Response
230016,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Initiate PDP Context Activation Request
230017,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Initiate PDP Context Activation Response
230018,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,For future use. Shall not be sent. If received shall be treated as an Unknown message.
23001a,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Error Indication
23001b,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,PDU Notification Request
23001c,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,PDU Notification Response
23001d,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,PDU Notification Reject Request
23001e,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,PDU Notification Reject Response
23001f,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Supported Extension Headers Notification
230020,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Send Routeing Information for GPRS Request
230021,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Send Routeing Information for GPRS Response
230022,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Failure Report Request
230023,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Failure Report Response
230024,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Note MS GPRS Present Request
230025,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Note MS GPRS Present Response
230026,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,For future use. Shall not be sent. If received shall be treated as an Unknown message.
230030,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Identification Request
230031,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Identification Response
230032,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,SGSN Context Request
230033,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,SGSN Context Response
230034,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,SGSN Context Acknowledge
230035,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Forward Relocation Request
230036,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Forward Relocation Response
230037,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Forward Relocation Complete
230038,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Relocation Cancel Request
230039,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Relocation Cancel Response
23003a,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Forward SRNS Context
23003b,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Forward Relocation Complete Acknowledge
23003c,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,Forward SRNS Context Acknowledge
23003d,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,UE Registration Query Request
23003e,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,UE Registration Query Response
23003f,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,For future use. Shall not be sent. If received shall be treated as an Unknown message.
230046,GTPv1,Invalid IE in GTPv1 message such as invalid IMSI,Reserved,RAN Information Relay
