
EventCode,GTPVersion,Description,InformationElement,MessageType
240000,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Reserved
240001,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Echo Request
240002,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Echo Response
240003,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Version Not Supported Indication
240004,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Reserved for S101 interface
240011,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Reserved for S121 interface
240019,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Reserved for Sv interface
240020,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Create Session Request
240021,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Create Session Response
240024,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Delete Session Request
240025,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Delete Session Response
240022,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Modify Bearer Request
240023,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Modify Bearer Response
240028,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Remote UE Report Notification
240029,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Remote UE Report Acknowledge
240026,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Change Notification Request
240027,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Change Notification Response
24002a,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,For future use
2400a4,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Resume Notification
2400a5,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Resume Acknowledge
240040,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Modify Bearer Command (MME/SGSN/ TWAN/ePDG to PGW – S11/S4
240041,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Modify Bearer Failure Indication (PGW to MME/SGSN/ TWAN/ePDG – S5/S8
240042,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Delete Bearer Command (MME/SGSN to PGW – S11/S4
240043,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Delete Bearer Failure Indication (PGW to MME/SGSN – S5/S8
240044,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Bearer Resource Command (MME/SGSN/TWAN/ePDG to PGW – S11/S4
240045,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Bearer Resource Failure Indication (PGW to MME/SGSN/TWAN/ePDG – S5/S8
240046,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Downlink Data Notification Failure Indication (SGSN/MME to SGW – S4/S11)
240047,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Trace Session Activation (MME/SGSN/ TWAN/ePDG to PGW – S11/S4
240048,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Trace Session Deactivation (MME/SGSN/ TWAN/ePDG to PGW – S11/S4
240049,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Stop Paging Indication (SGW to MME/SGSN – S11/S4)
24004a,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,For future use
24005f,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Create Bearer Request
240060,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Create Bearer Response
240061,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Update Bearer Request
240062,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Update Bearer Response
240063,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Delete Bearer Request
240064,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Delete Bearer Response
240065,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Delete PDN Connection Set Request
240066,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Delete PDN Connection Set Response
240067,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,PGW Downlink Triggering Notification
240068,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,PGW Downlink Triggering Acknowledge
240069,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,For future use
240080,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Identification Request
240081,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Identification Response
240082,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Context Request
240083,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Context Response
240084,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Context Acknowledge
240085,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Forward Relocation Request
240086,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Forward Relocation Response
240087,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Forward Relocation Complete Notification
240088,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Forward Relocation Complete Acknowledge
240089,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Forward Access Context Notification
24008a,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Forward Access Context Acknowledge
24008b,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Relocation Cancel Request
24008c,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Relocation Cancel Response
24008d,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Configuration Transfer Tunnel
24008e,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,For future use
240098,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,RAN Information Relay
240095,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Detach Notification
240096,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Detach Acknowledge
240097,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,CS Paging Indication
240099,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Alert MME Notification
24009a,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Alert MME Acknowledge
24009b,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,UE Activity Notification
24009c,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,UE Activity Acknowledge
24009d,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,ISR Status Indication
24009e,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,UE Registration Query Request
24009f,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,UE Registration Query Response
2400a2,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Suspend Notification
2400a3,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Suspend Acknowledge
2400a0,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Create Forwarding Tunnel Request
2400a1,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Create Forwarding Tunnel Response
2400a6,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Create Indirect Data Forwarding Tunnel Request
2400a7,GTPv1,Invalid IE in GTPv2 message such as invalid IMSI,Reserved,Create Indirect Data Forwarding Tunnel Response
